9,0
9,1
17,1
9,2
17,2
39,2
40,2
13,3
39,3
40,3
12,4
14,4
13,5
22,5
23,5
5,6
7,6
22,6
23,6
6,7
7,7
6,8
12,14
36,14
37,14
38,14
42,14
43,14
44,14
10,15
13,15
20,15
21,15
2,16
3,16
4,16
10,16
13,16
20,16
34,16
39,16
41,16
46,16
11,17
23,17
34,17
39,17
41,17
46,17
22,18
23,18
34,18
39,18
41,18
46,18
36,19
37,19
38,19
42,19
43,19
44,19
36,21
37,21
38,21
42,21
43,21
44,21
34,22
39,22
41,22
46,22
34,23
39,23
41,23
46,23
34,24
39,24
41,24
46,24
36,26
37,26
38,26
42,26
43,26
44,26
6,29
5,30
6,30
13,30
14,30
4,31
5,31
7,31
9,31
13,31
15,31
16,31
0,32
1,32
2,32
5,32
6,32
8,32
9,32
12,32
16,32
5,33
6,33
10,33
11,33
13,33
14,33
0,34
6,34
9,34
10,34
11,34
13,34
14,34
15,34
53,34
0,35
6,35
7,35
9,35
10,35
52,35
55,35
56,35
57,35
59,35
0,36
51,36
52,36
53,36
58,37
59,37
57,38
10,39
11,39
10,40
11,40
15,47
10,48
14,48
15,48
9,49
10,49
11,49
9,50
14,50
11,51
12,51
15,52
13,53
14,53
15,53
11,54
16,54
11,55
17,55
11,56
15,56
17,56
12,57
13,57
14,57
16,57
17,57
18,57
17,58
18,58
